entry,exit,direction,entry_price,atr,win_target,loss_target,result
2026-08-20 13:49:00,2026-08-20 13:54:00,short,411.03,0.36278571428570267,410.6672142857143,411.57417857142855,tie
2026-08-20 13:54:00,2026-08-20 13:57:00,long,411.335,0.31799285714285475,411.65299285714286,410.8580107142857,tie
2026-08-20 13:57:00,2026-08-20 14:00:00,short,410.86,0.28520714285714427,410.5747928571429,411.28781071428574,loss
2026-08-20 14:00:00,2026-08-20 14:04:00,long,411.53,0.3105642857142844,411.84056428571427,411.06415357142856,loss
2026-08-20 14:05:00,2026-08-20 14:09:00,short,410.99,0.3137785714285672,410.67622142857147,411.4606678571429,win
2026-08-20 14:12:00,2026-08-20 14:19:00,long,411.45,0.3707928571428454,411.8207928571428,410.89381071428573,tie
2026-08-20 14:19:00,2026-08-20 14:21:00,short,410.98,0.36293571428570964,410.6170642857143,411.5244035714286,loss
2026-08-20 14:21:00,2026-08-20 14:24:00,long,411.59,0.3682928571428517,411.95829285714285,411.0375607142857,win
2026-08-20 14:41:00,2026-08-20 14:42:00,short,412.075,0.2895214285714311,411.78547857142854,412.50928214285716,tie
2026-08-20 14:42:00,2026-08-20 14:45:00,long,412.47,0.2913071428571478,412.76130714285716,412.0330392857143,win
2026-08-20 15:10:00,2026-08-20 15:12:00,short,414.805,0.6957142857142904,414.1092857142857,415.84857142857146,tie
2026-08-20 15:12:00,2026-08-20 15:17:00,long,415.6499,0.740000000000005,416.3899,414.5399,win
2026-08-20 15:21:00,2026-08-20 15:28:00,short,415.2,0.5760357142857109,414.6239642857143,416.06405357142853,tie
2026-08-20 15:28:00,2026-08-20 15:33:00,long,415.72,0.46949285714284933,416.18949285714285,415.01576071428576,loss
2026-08-20 15:33:00,2026-08-20 15:39:00,short,414.915,0.4195285714285717,414.4954714285715,415.54429285714286,win
2026-08-20 15:47:00,2026-08-20 15:58:00,long,414.46,0.39203571428572154,414.8520357142857,413.8719464285714,win
2026-08-20 16:04:00,2026-08-20 16:11:00,short,414.51,0.23284285714286415,414.2771571428571,414.8592642857143,win
2026-08-20 16:24:00,2026-08-20 16:25:00,long,413.74,0.22817142857143072,413.96817142857145,413.3977428571429,tie
2026-08-20 16:25:00,2026-08-20 16:27:00,short,413.525,0.21995714285714435,413.30504285714284,413.8549357142857,win
2026-08-20 16:34:00,2026-08-20 16:36:00,long,413.49,0.24596428571429182,413.7359642857143,413.12105357142855,win
