time,open,high,low,close,volume,atr,Tankan_sen,Kijun_sen,ssl_up,ssl_down,bull_ema,bear_ema,aroon_up,aroon_down,deadzone,trend_up,trend_down,e1,trend_up_color,trend_down_color
2026-08-20 13:30:00,410.04,410.55,410.04,410.135,113831,,,,,,,,,,1.8869999999999665,,,,green,red
2026-08-20 13:31:00,410.115,410.43,409.9,409.98,51828,,,,,,,,,,1.887739999999968,0.0,1.1128205128176205,,green,red
2026-08-20 13:32:00,410.01,410.295,409.82,410.2,24259,,,,,,,,,,1.8864375999999692,0.720300971580059,-0.0,,green,orange
2026-08-20 13:33:00,410.22,410.4722,409.92,410.37,36058,,,,,,,,,,1.8880046239999684,1.789324345728005,-0.0,,green,red
2026-08-20 13:34:00,410.3993,410.48,410.26,410.43,23992,,,,,,,,,,1.8772645777599697,1.8167435209591076,-0.0,,green,red
2026-08-20 13:35:00,410.45,411.37,410.32,411.17,143076,,,,,,,,,,1.8973419319823703,6.699573432941293,-0.0,,green,red
2026-08-20 13:36:00,411.15,411.335,411.0,411.085,35579,,,,,,,,,,1.8907635126625455,4.525727085538165,-0.0,,lime,red
2026-08-20 13:37:00,411.08,411.25,410.76,411.06,40967,,,,,,,,,,1.8899858775359206,3.2017651086920296,-0.0,,lime,red
2026-08-20 13:38:00,411.0375,411.37,410.99,411.2301,57700,,410.595,,,,,,,,1.885146018760561,3.5287035586213733,-0.0,,green,red
2026-08-20 13:39:00,411.2562,411.455,411.06,411.17,36224,,410.6375,,410.90072,410.407,,,,,1.880909558572955,2.09192082216191,-0.0,,lime,red
2026-08-20 13:40:00,411.2,411.2,410.72,410.8,37664,,410.6375,,410.96572,410.475,,,90.0,20.0,1.8798604629872238,0.0,1.2825262884348376,,lime,red
2026-08-20 13:41:00,410.79,411.31,410.62,411.3,19580,,410.6875,,411.05372,410.547,,,80.0,10.0,1.8865918583573515,2.334445648152723,-0.0,,green,orange
2026-08-20 13:42:00,411.32,411.429,411.15,411.335,25121,,410.85749999999996,,411.16711999999995,410.68,0.15507272727272411,0.07693818181818002,70.0,0.0,1.878048939773778,1.803190662304246,-0.0,,lime,red
2026-08-20 13:43:00,411.335,411.56,411.3,411.43,33298,0.4747285714285689,410.94,,411.2759,410.81800000000004,0.1503587878787855,0.06664848484848322,100.0,0.0,1.86888845037604,1.7971852954713086,-0.0,,lime,red
2026-08-20 13:44:00,411.46,411.49,411.38,411.46,31258,0.446157142857142,411.09000000000003,,411.37690000000003,410.93,0.1295690909090869,0.056828484848483296,90.0,0.0,1.8542695658722796,1.3053328252181018,-0.0,,lime,red
2026-08-20 13:45:00,411.47,411.7,411.33,411.36,35432,0.43472857142856874,411.15999999999997,,411.4099,411.03100000000006,0.10521878787878336,0.05609939393938937,100.0,0.0,1.8494168702135572,0.0,0.02823059534875938,,lime,red
2026-08-20 13:46:00,411.324,411.52,411.16,411.22,24248,0.42651428571427835,411.15999999999997,,411.42839999999995,411.047,0.08421696969696492,0.06415818181817434,90.0,50.0,1.8442427015114198,0.0,1.3599030120923317,,green,red
2026-08-20 13:47:00,411.16,411.21,410.92,411.15,21492,0.40849999999999553,411.15999999999997,,411.4244,411.063,0.06688181818181413,0.07020181818181444,80.0,40.0,1.836900274496306,0.0,1.8851745293466138,,green,red
2026-08-20 13:48:00,411.13,411.2,410.93,411.11,14564,0.4120714285714208,411.15999999999997,,411.40739999999994,411.0570000000001,0.0517890909090876,0.06944242424242061,70.0,30.0,1.8285212717513422,0.0,2.0598439570579785,,green,red
2026-08-20 13:49:00,411.095,411.21,410.85,411.03,21131,0.36278571428570267,411.15999999999997,,411.03599999999994,411.38289999999995,0.038242727272724625,0.06757696969696994,60.0,20.0,1.8235560590338271,0.0,2.460398705749185,1.852838393725392,green,red
2026-08-20 13:50:00,411.03,411.13,410.89,411.09,21368,0.3559999999999905,411.275,,411.053,411.3759,0.03118181818181635,0.05939424242424431,50.0,10.0,1.814200498443489,0.0,1.7410567144997913,1.6881197786137818,green,orange
2026-08-20 13:51:00,411.1,411.11,410.96,411.0009,5938,0.33171428571427797,411.275,,411.087,411.3558999999999,0.022272727272726136,0.05879696969697046,40.0,0.0,1.8016084934590553,0.0,2.228090120616457,1.3897661355704258,green,red
